1697720597.366920, 0
1697720597.385040, 0
1697720597.402079, 0
1697720597.419066, 2
1697720597.436503, 8
1697720597.453667, 7
1697720597.470500, 10
1697720597.487850, 10
1697720597.504666, 10
1697720597.521319, 9
1697720597.538204, 10
1697720597.555053, 10
1697720597.571820, 10
1697720597.588413, 6
1697720597.605090, 8
1697720597.621983, 7
1697720597.639246, 3
1697720597.656279, 5
1697720597.673019, 4
1697720597.690162, 2
1697720597.707091, 4
1697720597.723717, 4
1697720597.740510, 3
1697720597.757382, 4
1697720597.774330, 5
1697720597.791605, 5
1697720597.808393, 5
1697720597.825732, 5
1697720597.842818, 5
1697720597.859602, 6
1697720597.876639, 6
1697720597.893539, 7
1697720597.910409, 7
1697720597.927042, 7
1697720597.944010, 9
1697720597.960928, 7
1697720597.977956, 8
1697720597.994993, 8
1697720598.011713, 9
1697720598.028546, 8
1697720598.045675, 8
1697720598.063173, 8
1697720598.079729, 10
1697720598.096568, 10
1697720598.113404, 9
1697720598.130355, 8
1697720598.147737, 8
1697720598.164099, 2
1697720598.180781, 3
1697720598.197869, 1
1697720598.214357, 3
1697720598.231666, 2
1697720598.248343, 4
1697720598.266214, 4
1697720598.283877, 4
1697720598.300656, 4
1697720598.317395, 4
1697720598.334063, 5
1697720598.350707, 5
1697720598.367487, 6
1697720598.384130, 7
1697720598.400557, 6
1697720598.417897, 7
1697720598.434693, 7
1697720598.451290, 7
1697720598.468687, 7
1697720598.485176, 8
1697720598.501681, 8
1697720598.518724, 7
1697720598.535401, 9
1697720598.551967, 9
1697720598.569194, 9
1697720598.586047, 10
1697720598.602894, 9
1697720598.620173, 9
1697720598.637012, 9
1697720598.653918, 4
1697720598.670900, 2
1697720598.687899, 2
1697720598.705075, 3
1697720598.722332, 3
1697720598.739265, 3
1697720598.756248, 4
1697720598.773123, 4
1697720598.789720, 4
1697720598.806362, 5
1697720598.823035, 4
1697720598.839572, 5
1697720598.856402, 6
1697720598.873365, 6
1697720598.890019, 7
1697720598.906692, 6
1697720598.923043, 8
1697720598.939776, 6
1697720598.956724, 7
1697720598.973575, 8
1697720598.990223, 7
1697720599.006908, 7
1697720599.023756, 8
1697720599.040704, 9
1697720599.057193, 10
1697720599.074001, 10
1697720599.090824, 10
1697720599.108378, 9
1697720599.125929, 9
1697720599.142482, 10
1697720599.159727, 9
1697720599.176359, 9
1697720599.192988, 10
1697720599.210074, 9
1697720599.226671, 7
1697720599.243503, 2
1697720599.260380, 3
1697720599.277277, 3
1697720599.294580, 3
1697720599.311548, 4
1697720599.328317, 3
1697720599.345799, 4
1697720599.362714, 5
1697720599.379466, 4
1697720599.396707, 5
1697720599.413508, 6
1697720599.430454, 5
1697720599.447514, 6
1697720599.464163, 7
1697720599.480862, 7
1697720599.497941, 7
1697720599.514712, 7
1697720599.531210, 8
1697720599.548598, 6
1697720599.565166, 8
1697720599.581618, 7
1697720599.599194, 8
1697720599.616056, 8
1697720599.633285, 9
1697720599.650104, 8
1697720599.666832, 9
1697720599.683532, 10
1697720599.700172, 9
1697720599.716938, 9
1697720599.733537, 9
1697720599.750455, 10
1697720599.767132, 9
1697720599.784403, 8
1697720599.800994, 5
1697720599.818257, 2
1697720599.835182, 2
1697720599.852463, 3
1697720599.869184, 3
1697720599.886171, 3
1697720599.902802, 4
1697720599.919538, 4
1697720599.936704, 3
1697720599.953568, 4
1697720599.970605, 6
1697720599.987879, 5
1697720600.004491, 6
1697720600.021986, 6
1697720600.038974, 6
1697720600.055649, 6
1697720600.073043, 7
1697720600.089853, 8
1697720600.106672, 7
1697720600.123840, 8
1697720600.140606, 7
1697720600.157255, 8
1697720600.174985, 9
1697720600.191823, 9
1697720600.208468, 9
1697720600.225582, 9
1697720600.242154, 10
1697720600.259028, 9
1697720600.276169, 9
1697720600.293025, 9
1697720600.309509, 9
1697720600.326628, 10
1697720600.343449, 10
1697720600.360236, 9
1697720600.377280, 6
1697720600.394058, 3
1697720600.410535, 2
1697720600.427976, 3
1697720600.444665, 3
1697720600.461737, 4
1697720600.479148, 4
1697720600.496246, 4
1697720600.513282, 5
1697720600.530183, 5
1697720600.546996, 4
1697720600.563975, 6
1697720600.580730, 5
1697720600.597781, 6
1697720600.614330, 7
1697720600.631109, 6
1697720600.647793, 7
1697720600.664960, 8
1697720600.682133, 7
1697720600.699021, 8
1697720600.716401, 8
1697720600.733068, 9
1697720600.750005, 8
1697720600.767193, 9
1697720600.783831, 9
1697720600.800479, 8
1697720600.817687, 8
1697720600.834599, 9
1697720600.851292, 10
1697720600.868706, 10
1697720600.885525, 10
1697720600.902462, 9
1697720600.919625, 9
1697720600.936606, 8
1697720600.953656, 1
1697720600.971093, 2
1697720600.988048, 2
1697720601.005123, 3
1697720601.021760, 3
1697720601.038561, 3
1697720601.055805, 4
1697720601.072720, 4
1697720601.089245, 4
1697720601.106166, 5
1697720601.122939, 5
1697720601.139739, 5
1697720601.157846, 6
1697720601.174813, 5
1697720601.191524, 5
1697720601.208390, 6
1697720601.225117, 6
1697720601.241918, 7
1697720601.259471, 7
1697720601.276571, 8
1697720601.293321, 7
1697720601.310713, 7
